"title","date","link","nrec"
"[新聞] 陸資內卷嚴重 傳華為中興PCB供應商破產…","7/25","https://www.ptt.cc/bbs/Stock/M.1753458721.A.E60.html","35"
"[新聞] 會錯意？鮑爾說美國表現強勁 川普竟解讀","7/26","https://www.ptt.cc/bbs/Stock/M.1753459345.A.71D.html","53"
"[標的] ASPI 買不夠多就噴了","7/26","https://www.ptt.cc/bbs/Stock/M.1753460807.A.530.html","30"
"[新聞] 川普：歡迎用錢換低關稅 日本鉅額投資","7/26","https://www.ptt.cc/bbs/Stock/M.1753464302.A.D0E.html","87"
"[新聞] 海外股票ETF兩大類飆 新科技、中國值得關","7/26","https://www.ptt.cc/bbs/Stock/M.1753486497.A.5D9.html","4"
"[新聞] 有台灣了？　川普將寄出200封關稅信：15-","7/26","https://www.ptt.cc/bbs/Stock/M.1753492166.A.95E.html","91"
"[新聞] 川普：強勢美元好聽 弱美元才有利美國製","7/26","https://www.ptt.cc/bbs/Stock/M.1753492173.A.1C6.html","89"
"[公告] sadness0830 trader987 自刪標的文","7/26","https://www.ptt.cc/bbs/Stock/M.1753494087.A.D45.html","7"
"[標的] 6945.TW 圓祥生技 50倍獲利的賭局","7/25","https://www.ptt.cc/bbs/Stock/M.1753430423.A.31F.html","32"
"[情報] 0725 上市外資買賣超排行","7/25","https://www.ptt.cc/bbs/Stock/M.1753430902.A.443.html","27"
"[情報] 2890 永豐金 114年除權息日","7/25","https://www.ptt.cc/bbs/Stock/M.1753431778.A.F34.html","16"
"[新聞] 實現煉金術？美企1技術「點汞成金」力拚","7/25","https://www.ptt.cc/bbs/Stock/M.1753432802.A.405.html","35"
"[新聞] 焦點股》漢翔：5萬架無人機標案激勵 價","7/25","https://www.ptt.cc/bbs/Stock/M.1753433208.A.10C.html","21"
"Re: [新聞] 台美關稅談判進入倒數！中經院估關稅落點","7/25","https://www.ptt.cc/bbs/Stock/M.1753433228.A.20C.html","31"
"[情報] 3363 上詮 達注意標準 6月自結 0.01","7/25","https://www.ptt.cc/bbs/Stock/M.1753433466.A.135.html","21"
"[新聞] 債蛙6月歸隊？債券ETF規模回升千億元","7/25","https://www.ptt.cc/bbs/Stock/M.1753434139.A.31A.html","40"
"[情報] 3305 昇貿 達注意標準 6月自結 0.10","7/25","https://www.ptt.cc/bbs/Stock/M.1753434521.A.7A9.html","4"
"[新聞] 高層會談接連告吹！南韓提2千億美元投資","7/25","https://www.ptt.cc/bbs/Stock/M.1753436345.A.EB1.html","爆"
"[情報] 2809京城銀 自10/1起終止上市","7/25","https://www.ptt.cc/bbs/Stock/M.1753439308.A.8A0.html","9"
